,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,intent
88,MakokhaDr,"specialised in dentistry on restoration and oral health awareness..Education

A Gambler ⚽⚽","Mombasa, Kenya",4996,642,1556,2018-09-26 09:37:12,2020-11-17 16:57:37,12,"""In the region, KCB Group will be one of the few pioneer economies that will start investing in programmes from the private sector to support areas that have a big impact on climate change"" KCB Group CEO &amp; MD Joshua Oigara on the Bank's @theGCF accreditation https://t.co/YQ3tBkJzx4",[],N/A
89,KipangaN,But for my mum's prayers..,,99,14,89,2020-06-09 12:07:22,2020-11-17 16:49:31,0,@KCBGroup Done,[],N/A
90,LydiaBecca,"Market Analyst ,Being a Gemini,I am complicated,don't which twin is present when","Mombasa, Kenya",727,812,2256,2010-11-19 07:12:09,2020-11-17 16:48:30,0,@KCBGroup @KCBGroup why did I receive an email yesterday giving me my password to e-banking yet I haven't applied?,[],N/A
91,TransFarmVent,Food Security | Job Creation | Improved Agricultural Productivity | Increased Earnings | Youth | Women,"Bungoma, Kenya",12,80,189,2018-10-01 09:45:44,2020-11-17 16:40:11,0,"It has been an exciting 3 months under @kcb2jiajiri programme gaining technical and entrepreneurial skills in agribusiness at Miramar International College courtesy of Young Africa Works program by @kcbgroup and @mastercardfoundation
#TransFarmVentures
#TransformingFarming https://t.co/8jz88qcOUV","[{'text': 'TransFarmVentures', 'indices': [234, 252]}, {'text': 'TransformingFarming', 'indices': [253, 273]}]",N/A
92,Tonny_M_Mugiira,"Artist,Meru County Youth and Opinion Leader,Political Genius,Mentor and Philanthropist. CEO and founder of a national charity organization @TGFoundationKe",Republic of kenya Nairobi Meru,2066,2289,16466,2018-01-16 10:03:22,2020-11-17 16:28:08,71,"At KCB tunajua muhimu ya ku empower our youth. Through programs like the Young Africa Works with MasterCard Foundation, tumeweza kuwai wasee jobs, offer training and mentorships which have helped better their lives. This is our #GoAhead spirit. Read more https://t.co/AaeEyCEf3S https://t.co/Atip84Yqbo",[],N/A
93,Skirm_TheDon,I speak what my mind tells me to.  #BigBroAfrica fan.,,23,194,2148,2010-04-30 12:11:15,2020-11-17 16:25:06,0,"@KCBGroup @KCBCare I need my money 
Transaction ref. no. 203223037394. @Safaricom_Care",[],N/A
94,OnyimboSostine,"Am an Internet Social Justice Activist who loves the Truth, Fairness, Transparency, Equity & wish 4 a Corrupt Free Kenya.",,904,469,8465,2016-03-01 12:08:17,2020-11-17 16:03:58,0,"@KCBGroup How long does it take to clear someone who had defaulted paying your KCB Mobiloan but paid later on to be allowed to borrow again?
It is 3yrs now your systems still rejecting",[],N/A
95,MwangiNdichu2,,,144,20,17,2018-01-11 08:54:25,2020-11-17 16:02:28,0,@KCBGroup I changed my handset recently,[],N/A
96,DanTrevorCEO,,Meru,1473,1471,2253,2017-12-17 19:44:48,2020-11-17 15:57:51,71,"At KCB tunajua muhimu ya ku empower our youth. Through programs like the Young Africa Works with MasterCard Foundation, tumeweza kuwai wasee jobs, offer training and mentorships which have helped better their lives. This is our #GoAhead spirit. Read more https://t.co/AaeEyCEf3S https://t.co/Atip84Yqbo",[],N/A
97,Gitari56557590,Ambitions,,16,10,5,2020-11-17 06:33:55,2020-11-17 15:54:23,0,@KCBCare Thanks for ur help,[],N/A
98,ItsKirubi_,#GodAboveEverything,"Nairobi, Kenya",4977,3935,24043,2013-03-14 15:36:52,2020-11-17 15:44:19,12,"""In the region, KCB Group will be one of the few pioneer economies that will start investing in programmes from the private sector to support areas that have a big impact on climate change"" KCB Group CEO &amp; MD Joshua Oigara on the Bank's @theGCF accreditation https://t.co/YQ3tBkJzx4",[],N/A
99,grace_mogire,"Mission: To know Him and to make Him known; Christ Jesus//
Kenyan 🇰🇪//
Naturalista//
fashion&Music♥️//
Loyalty. Love. Trust","Nairobi, Kenya",104,56,302,2019-10-10 08:22:53,2020-11-17 15:12:12,96,Potential ya farming ni bigi sana and KCB sees this. That’s why we see the need to equip livestock farmers with financial support and training to better their productivity. This improves their lives and betters the economy. #GoAhead na KCB https://t.co/AaeEyCmDFi https://t.co/IGnnnTe5mY,[],N/A
100,Informer_ke,It is our job to #GoThere and tell the most difficult stories. Come with us!,"Nairobi, Kenya",13435,19508,12146,2015-05-28 17:08:47,2020-11-18 10:36:31,0,"Waiguru to pay million of shillings or vacate the Sh80m house
 https://t.co/2Y3Ly25OyJ…80-million-house/
@AnneWaiguru 
@HonGethenji 
@KCBGroup https://t.co/5N9pYuotXS",[],N/A
101,a0bwogo,...only the paranoid survive - Andy Grove,Pennsylvania ,262,205,2266,2016-11-09 05:17:31,2020-11-18 10:29:58,0,"@citizentvkenya Sincerely, how does a mastercard replace a national identification card. It's like having ABSA logo on our currency. Si basi hata mgetumia ya @KCBGroup. Iko na simba which a citizen animal as a logo. Yuck!!!",[],N/A
102,muchpitz,,"nairobi,kenya",701,204,122,2011-05-31 13:14:49,2020-11-18 10:28:48,0,@KCBGroup am one dissapointed customer after banking with you for more than a decade😕,[],N/A
103,National_Bank,"We are a subsidiary of KCB Group & are licensed by CBK. We offer full range of commercial banking products to Personal, SMEs and Corporate Banking customers.",Kenya,3565,35082,10207,2012-04-26 06:23:54,2020-11-18 10:23:57,0,"Agriculture is an important pillar of our economy. It  provides food and a source of livelihood for many households across the country. This is a key focus at NBK and across @KCBGroup where we are partnering with farmers and all sector players ~ our Board Chair, Mr. John Nyerere https://t.co/nHhfcxPfkn",[],N/A
104,FranklinNsubuga,"Software Engineer, Strawberry farmer, Poet, AgriBusiness Development Analyst and Business Development Director Agrintel Group LLC","Nairobi, Kenya",236,165,1561,2016-02-22 10:40:29,2020-11-18 10:04:07,0,@KCBGroup Please check your DM. Asante,[],N/A
105,papafavour,Member @NfhGroup #Designer || #Fashion #Photo #Editor || #Software #Developer || #Photographer || #Nairobifashionhub || || Email: oscar@tinker.co.ke ||,"Abuja, Nigeria",10718,13068,47379,2011-10-05 09:17:10,2020-11-18 09:40:05,0,"@DrAlfredMutua Well done mweshimiwa @DrAlfredMutua 
what happened to CDF bursary in constituency level same with @KeEquityBank  wings to fly scholarship , @KCBGroup Foundation Scholarships &amp; many others ?
we need to think of permanent solution for others like Philomena .
https://t.co/QGMx8Z1xq2",[],N/A
106,ngaruiyacharles,Life isn't about waiting for the storms to pass. It's about learning to dance in the rain.,"Nairobi, Kenya",18336,20642,258655,2012-02-15 05:50:39,2020-11-18 09:13:41,17,"Tunapita tu kuwaambia you can cop 10% back on every purchase when you shop with your KCB UnionPay Card. Msiseme hamkuambiwa! Kaende, kaende! Learn more https://t.co/yD642yhYeB #StaySafe #GoCashless",[],N/A
107,KipangaN,But for my mum's prayers..,,99,14,89,2020-06-09 12:07:22,2020-11-18 09:12:35,0,"But @KCBGroup, why are you turning me into a desperate case? I have been a client for a while now, this is what gave me the confidence to roll with you on this diaspora banking but aiih.. Hapana. You must do better. Several emails and phone calls later, NOTHING!",[],N/A
108,Eduale88Alex,Love. Peace. Keen to detail. Affinity for fine things.,Kenya,943,1236,107413,2015-03-29 09:14:07,2020-11-18 09:12:20,1,@KCBGroup please check DM!,[],N/A
109,JooseRutz,Cool but hot,,37,6,6,2020-10-11 04:47:48,2020-11-18 09:11:55,0,@KCBGroup Thank you.,[],N/A
110,Mwandungoswaleh,"Energy expert. 
#Renewables
 Solar and Wind #energy
#photographer📸
JKUSA awards 2019/2020 
Check my work on #Moarts254","Jkuat, Juja",545,710,3845,2017-04-25 13:26:03,2020-11-18 09:11:24,0,@Wanzalla @KCBGroup @SCANADAfrica @ledamasempele @Lynxxxy @Chef_lesiamon Nice work,[],N/A
111,Eduale88Alex,Love. Peace. Keen to detail. Affinity for fine things.,Kenya,943,1236,107413,2015-03-29 09:14:07,2020-11-18 09:10:25,1,@KCBGroup please check DM!,[],N/A
112,JooseRutz,Cool but hot,,37,6,6,2020-10-11 04:47:48,2020-11-18 09:08:30,0,"@KCBGroup May God bless you KCB group foundation and expand your limits,,,I have been sponsored by KCB group foundation from form one to four and now I'm in university only because of your support 🙏🙏🙏",[],N/A
113,dungudungu,🏗️🏗️,"Kuala Lumpur City, Kuala Lumpu",94,26,223,2017-09-19 06:24:42,2020-11-18 08:58:49,0,@KCBGroup see DM,[],N/A
114,Lawkipkoech,V.I.P -Very improved peasant,Kenya,874,555,10150,2011-11-19 09:11:55,2020-11-18 08:53:17,0,@KCBGroup can i get a statement without visiting a branch?,[],N/A
115,kcbbankug,"We are a subsidiary of KCB Bank Group, a regional bank providing banking services to over 2 million people in EA. We are proudly an indigenous African brand.",Plot 7 Commercial Plaza Kla Rd,911,4706,5282,2012-09-19 06:27:06,2020-11-18 08:45:15,0,"@ElhuseinCynthia @KCBGroup Kindly feel free to inbox us your challenge to enable us advise, regards~rt",[],N/A
116,kcbbankug,"We are a subsidiary of KCB Bank Group, a regional bank providing banking services to over 2 million people in EA. We are proudly an indigenous African brand.",Plot 7 Commercial Plaza Kla Rd,911,4706,5282,2012-09-19 06:27:06,2020-11-18 08:44:21,0,"@ElhuseinCynthia @KCBGroup Hi Cynthia, sorry about this inconvenience, you may kindly reach us on WhatsApp +256757378603 for further assistance, we shall be glad to assist, regards~rt",[],N/A
117,AndrewUnited7,"@Manutd 
Views expressed on my TL aren't part of my Real Life. I'm here for fun and Banter","Nairobi, Kenya",1167,2182,74487,2012-06-14 13:44:59,2020-11-18 07:39:29,0,Hey @KCBGroup check DM,[],N/A
118,AlbertB82683321,Passionate about climate change and sustainable development and truth,"West Midlands, England",417,82,3101,2020-04-25 09:00:13,2020-11-18 07:35:59,0,@KCBGroup The markets are poor and the prices do not reflect in the input costs.  Farming only enriches middle-men.,[],N/A
119,OlympicsKe,"The Official handle for The National Olympic Committee - Kenya

We are #TeamKenya 🇰🇪",Kenya,355,2939,3725,2018-02-10 07:07:24,2020-11-18 07:29:51,0,"Q and A session on matters personal finance facilitated by @KCBGroup
#PowerUpYourFuture https://t.co/KECCwBJixp","[{'text': 'PowerUpYourFuture', 'indices': [69, 87]}]",N/A
120,CrazyJaymore,"Sipendi Bio Juu ya Graphy😎🚮 
Just Fun ♥️",Self Isolation,798,1006,3530,2020-05-01 12:40:58,2020-11-18 07:26:39,0,@KCBGroup The Kachumbari from my Vendor is 😋😋😋,[],N/A
121,Amref_Kenya,We believe that health is a basic human right. Everything we do ensures lasting health change for all. FB: https://t.co/Bgmdhz8Oqr,Kenya,4834,24049,8489,2015-03-24 13:31:03,2020-11-18 07:26:26,2,"@Pwaiganjo, Venture Development Manager, @Amref_Kenya will be speaking during the Pillar Corporate Wellness webinar organised by @Global_GWI. Tune in from 4pm EAT to learn how mental, social &amp; physical wellbeing are interrelated. #CorporateWellnessAfrica @KCBGroup https://t.co/NcmoOzvP5W",[],N/A
122,CrazyJaymore,"Sipendi Bio Juu ya Graphy😎🚮 
Just Fun ♥️",Self Isolation,798,1006,3530,2020-05-01 12:40:58,2020-11-18 07:22:41,0,"@KCBGroup Smokie pasua,Why?",[],N/A
123,geegatwiri,"Managing Director, @HmgFire  (Follow & Like).
Entrepreneur, Economics, Agribusiness
Basketballer
Arsenal fan💕

NEVER PISS ON HONOUR. The gods will piss on you.","Nairobi, Kenya",279,353,1242,2016-03-10 06:22:36,2020-11-18 07:20:00,0,@KCBGroup Check your DM.,[],N/A
124,kibeTweets,A Dark Horse 🐎🏌🏾‍♂️♊️,"South Kinangop, Kenya",857,995,5480,2019-09-25 16:28:26,2020-11-18 07:10:24,0,@KCBGroup Rolexxx is not so know a delicacy to Kenyans. It’s a Ugandan thing ! 😂😂😂,[],N/A
125,AndrewUnited7,"@Manutd 
Views expressed on my TL aren't part of my Real Life. I'm here for fun and Banter","Nairobi, Kenya",1167,2182,74487,2012-06-14 13:44:59,2020-11-18 07:07:37,0,@KCBGroup check DM,[],N/A
126,geegatwiri,"Managing Director, @HmgFire  (Follow & Like).
Entrepreneur, Economics, Agribusiness
Basketballer
Arsenal fan💕

NEVER PISS ON HONOUR. The gods will piss on you.","Nairobi, Kenya",279,353,1242,2016-03-10 06:22:36,2020-11-18 06:56:52,0,@KCBGroup Can i inbox you our claim details for your assistance? Kindly.,[],N/A
127,geegatwiri,"Managing Director, @HmgFire  (Follow & Like).
Entrepreneur, Economics, Agribusiness
Basketballer
Arsenal fan💕

NEVER PISS ON HONOUR. The gods will piss on you.","Nairobi, Kenya",279,353,1242,2016-03-10 06:22:36,2020-11-18 06:55:07,0,@KCBGroup We have equally done that. Nothing is moving.,[],N/A
128,jumaf3_,Breathing life into words. Sieving through the noise to give you the news. 🔥. Follow Me.,"Nairobi, Kenya",8855,15187,17437,2017-06-28 09:55:43,2020-11-18 06:52:25,0,"@SafaricomPLC moved 4.83 million shares. @KCBGroup &amp; the @Coopbankenya sold 862,700 &amp; 586,500 shares with a market capitalization of 120.50 and 67.47 billion. KPLC sold 562,400 shares with a market capitalization of  3.14 billion shillings.
https://t.co/67CupYYwt4 #SokoNews https://t.co/Vb2qd0yBnk","[{'text': 'SokoNews', 'indices': [273, 282]}]",N/A
129,geegatwiri,"Managing Director, @HmgFire  (Follow & Like).
Entrepreneur, Economics, Agribusiness
Basketballer
Arsenal fan💕

NEVER PISS ON HONOUR. The gods will piss on you.","Nairobi, Kenya",279,353,1242,2016-03-10 06:22:36,2020-11-18 06:51:28,0,"@KCBGroup Yes and yes.  We have been dealing with Meru branch. The officers do not even pick calls when we make followups.  And we are talking of an award winning dairy farm.  Honestly the bank has not given the support as promised.  Even with the high and low peaks,no care if you ask me.",[],N/A
130,TheRealMakori,"Broker Arbitrage,Arsenal die hard,Brother and a well grounded corporate citizen.",👆🏾,2717,1640,45387,2010-07-30 15:06:39,2020-11-18 06:41:36,0,@alykhansatchu @KCBGroup @BD_Africa It's brutal....,[],N/A
131,alykhansatchu,https://t.co/TSDvPIA9og Banker Interest rate Macro Geopolitical Africa that kind of thing,Nairobi,19338,574109,403003,2009-02-19 14:43:40,2020-11-18 06:40:00,0,"Mr Oigara says that the rising cases of Covid-19 infections means the economic difficulties will take longer to start clearing, with the best case scenario being June next year. @KCBGroup @BD_Africa 
https://t.co/jxWVa4MFjC

share price data 
https://t.co/anQjKmZmVd",[],N/A
132,geegatwiri,"Managing Director, @HmgFire  (Follow & Like).
Entrepreneur, Economics, Agribusiness
Basketballer
Arsenal fan💕

NEVER PISS ON HONOUR. The gods will piss on you.","Nairobi, Kenya",279,353,1242,2016-03-10 06:22:36,2020-11-18 06:39:49,0,"@KCBGroup Your livestock insurance policy seems like a scam. A farmers insures the cattle,  pays diligently,  but on death and with documents certified.. Mnaturuka kipetero kiyesu!!!  Not cool.. Not cool yoo.",[],N/A
133,Ianmota9Ian,Business https://t.co/zZRxC9yMsW pursuit of purpose. Reads too much of Jean Jacques Rousseau. Political Economy is butter.,"Nairobi, Kenya",648,527,8982,2013-08-05 05:51:03,2020-11-18 06:27:36,2,".@KCBGroup likely to issue profit warning on Covid woes @BD_Africa https://t.co/jxWVa4v3V2

CEO  says there is little recovery happening in the fourth quarter of the year

share price data 
https://t.co/anQjKngXML",[],N/A
134,RichTvAfrica,https://t.co/WGWqbL5lXS is the go to financial portal for #African frontiers and emerging markets. 🇰🇪🇿🇦🇳🇬,"Nairobi, Kenya",706,6111,47969,2014-09-17 13:23:51,2020-11-18 06:26:07,1,".@KCBGroup has so far restructured loans worth Sh105 billion or 18.2 percent of its loan book  @BD_Africa 
https://t.co/jxWVa4MFjC

“This is a year of survival. This is not a year to thrive. It is a year to try and hold your business and support customers,” said Mr Oigara.",[],N/A
135,RichTvAfrica,https://t.co/WGWqbL5lXS is the go to financial portal for #African frontiers and emerging markets. 🇰🇪🇿🇦🇳🇬,"Nairobi, Kenya",706,6111,47969,2014-09-17 13:23:51,2020-11-18 06:25:57,2,".@KCBGroup likely to issue profit warning on Covid woes @BD_Africa https://t.co/jxWVa4v3V2

CEO  says there is little recovery happening in the fourth quarter of the year

share price data 
https://t.co/anQjKngXML",[],N/A
136,alykhansatchu,https://t.co/TSDvPIA9og Banker Interest rate Macro Geopolitical Africa that kind of thing,Nairobi,19338,574109,403003,2009-02-19 14:43:40,2020-11-18 06:20:00,1,".@KCBGroup has so far restructured loans worth Sh105 billion or 18.2 percent of its loan book  @BD_Africa 
https://t.co/jxWVa4MFjC

“This is a year of survival. This is not a year to thrive. It is a year to try and hold your business and support customers,” said Mr Oigara.",[],N/A
137,NamaiYvonne,Sports Strategy & Sports Marketing Consultant | Founder & CEO NAMAI Consultancy | Sports Business inquiries: y.namai@namaiconsultancy.com,kenya,2412,4693,53962,2010-05-26 07:04:30,2020-11-18 06:17:46,1,"#PowerUpYourFuture  Matters Personal Finance. How do you manage your finances as an athlete?
Facilitated by @KCBGroup 
@Athlete365 https://t.co/0eYhVkkVFU","[{'text': 'PowerUpYourFuture', 'indices': [16, 34]}]",N/A
138,OlympicsKe,"The Official handle for The National Olympic Committee - Kenya

We are #TeamKenya 🇰🇪",Kenya,355,2939,3725,2018-02-10 07:07:24,2020-11-18 06:16:03,1,"#PowerUpYourFuture  Matters Personal Finance. How do you manage your finances as an athlete?
Facilitated by @KCBGroup 
@Athlete365 https://t.co/0eYhVkkVFU","[{'text': 'PowerUpYourFuture', 'indices': [0, 18]}]",N/A
139,sidiodhiambo,I champion progress of individuals in leadership at all levels in Africa.,,606,1992,15072,2010-02-18 15:08:54,2020-11-18 06:15:29,29,"#GoAhead is believing ukitaka kwenda far, you need to carry your squad with you. That’s why tumejenga watu wa biz by helping them restructure their loans and give them flexibility to borrow so they can continue to adapt and thrive. Read more https://t.co/AaeEyCmDFi https://t.co/Hw19s17NYF","[{'text': 'GoAhead', 'indices': [14, 22]}]",N/A
140,sidiodhiambo,I champion progress of individuals in leadership at all levels in Africa.,,606,1992,15072,2010-02-18 15:08:54,2020-11-18 06:15:24,12,"""In the region, KCB Group will be one of the few pioneer economies that will start investing in programmes from the private sector to support areas that have a big impact on climate change"" KCB Group CEO &amp; MD Joshua Oigara on the Bank's @theGCF accreditation https://t.co/YQ3tBkJzx4",[],N/A
141,SambuMathew,"software developer💯
@Official page",Kenya,172,82,25,2020-10-21 08:26:48,2020-11-18 06:15:23,71,"At KCB tunajua muhimu ya ku empower our youth. Through programs like the Young Africa Works with MasterCard Foundation, tumeweza kuwai wasee jobs, offer training and mentorships which have helped better their lives. This is our #GoAhead spirit. Read more https://t.co/AaeEyCEf3S https://t.co/Atip84Yqbo",[],N/A
142,alykhansatchu,https://t.co/TSDvPIA9og Banker Interest rate Macro Geopolitical Africa that kind of thing,Nairobi,19338,574109,403003,2009-02-19 14:43:40,2020-11-18 06:15:00,2,".@KCBGroup likely to issue profit warning on Covid woes @BD_Africa https://t.co/jxWVa4v3V2

CEO  says there is little recovery happening in the fourth quarter of the year

share price data 
https://t.co/anQjKngXML",[],N/A
143,bayanjames1,"*Live's Operator*
*Arsenal is in my blood veins*
*ROYAL*
*Youth for Youth💓*

*bayanjames44@gmail.com*","Kasarani, Kenya",1006,514,4089,2014-05-15 14:01:47,2020-11-18 06:12:24,2,".@KCBGroup is on course to issue a profit warning this year, weighed down by a sharp increase in losses linked to loan defaults in the wake of coronavirus economic hardships. - @BD_Africa",[],N/A
144,rmajab,"Alumni -birthplace of free speech movement.
Data Scientist.",,1064,837,58291,2017-03-06 12:25:39,2020-11-18 06:12:08,0,@mmnjug @KCBGroup But Oigara is most definitely NOT getting a salary cut or bonus cut 😂,[],N/A
145,Mwirigi,"I Drive Cars and Talk About Them.

Co-Host of @CBBT_TV (6:30pm, Sundays on @KTNHome_).

I ♥️ NBI.

This Twitter Account Is Based On a True Story.","Nairobi, Kenya",6856,47343,402125,2008-09-26 04:20:50,2020-11-18 06:07:43,1,.@KCBGroup might be issuing a profit warning due to depressed income brought about by Covid-19 pandemic https://t.co/1rdRMBPii7,[],N/A
146,mmnjug,From where I sit: There is a certain majesty in simplicity.,Kenya,1721,40388,370100,2009-04-08 07:48:10,2020-11-18 06:05:13,1,.@KCBGroup might be issuing a profit warning due to depressed income brought about by Covid-19 pandemic https://t.co/1rdRMBPii7,[],N/A
147,mmnjug,From where I sit: There is a certain majesty in simplicity.,Kenya,1721,40388,370100,2009-04-08 07:48:10,2020-11-18 06:02:37,0,This is a year of survival. This is not a year to thrive. It is a year to try and hold your business and support customers. @KCBGroup's Mr Oigara.,[],N/A
148,Japhetkiproti16,Patriotic,,181,110,172,2020-06-01 16:59:07,2020-11-18 06:02:14,96,Potential ya farming ni bigi sana and KCB sees this. That’s why we see the need to equip livestock farmers with financial support and training to better their productivity. This improves their lives and betters the economy. #GoAhead na KCB https://t.co/AaeEyCmDFi https://t.co/IGnnnTe5mY,[],N/A
149,mmnjug,From where I sit: There is a certain majesty in simplicity.,Kenya,1721,40388,370100,2009-04-08 07:48:10,2020-11-18 06:00:53,0,.@KCBGroup has so far restructured loans worth Sh105 billion or 18.2 percent of its loan book to accommodate customers seeking repayment holidays and longer tenures.,[],N/A
150,mmnjug,From where I sit: There is a certain majesty in simplicity.,Kenya,1721,40388,370100,2009-04-08 07:48:10,2020-11-18 06:00:06,0,.@KCBGroup net profit to September fell by 43.1 percent to Sh10.8 billion as the lender raised its provision for potential loan losses 3.4 times to Sh20 billion to reflect the economic hardships facing borrowers.,[],N/A
151,wanyagakusu,"Winner of the 2016 Global Research Nurse Award,
Maternal and Child Health Nurse, Bread crust addict, free spirit",Nairobi,468,338,765,2011-10-29 08:21:41,2020-11-18 05:59:37,0,@KCBGroup @daktari1 Thank you for always walking with us,[],N/A
152,mnandii,A student of Elliott Wave Principle and Socionomics,,526,564,2466,2010-08-16 18:48:04,2020-11-18 05:56:53,2,".@KCBGroup is on course to issue a profit warning this year, weighed down by a sharp increase in losses linked to loan defaults in the wake of coronavirus economic hardships. - @BD_Africa",[],N/A
153,mmnjug,From where I sit: There is a certain majesty in simplicity.,Kenya,1721,40388,370100,2009-04-08 07:48:10,2020-11-18 05:52:20,2,".@KCBGroup is on course to issue a profit warning this year, weighed down by a sharp increase in losses linked to loan defaults in the wake of coronavirus economic hardships. - @BD_Africa",[],N/A
154,Ndabakariuki,INTROVERT,"Runda, Kenya",1073,1111,7958,2012-11-30 16:35:11,2020-11-18 05:37:06,0,@KCBGroup we are cool kids 😆😊😊,[],N/A
155,MaudhuiHouse,We go wherever the story leads. newsroom@maudhui.co.ke,"Nairobi, Kenya",7961,10122,8456,2017-12-24 10:48:00,2020-11-18 05:23:08,0,.@KCBGroup Managing Director Joshua Oigara said they will not be cutting staff numbers this year but are continuously looking at their staffing structure to give employees new roles in line with the digital reality.,[],N/A
156,benshiashia6,Proud To Be Kenyan|| Western (Kakamega County) Is My Motherland|| Fan @Classic 105|| Fan  Of Chelsea 💯|| Football Is My Food For Thought.,,14,20,63,2020-08-13 15:40:49,2020-11-18 05:10:54,0,"@KCBGroup Thanks for the info, what do I need to carry?",[],N/A
157,12tonykinyuah,"Registered nurse interested, in enterpreneurship, good governance physical ,social and emotional well being of everyone in society. prov 4:13",nairobi,379,157,3462,2012-01-13 17:38:08,2020-11-18 05:10:09,0,Hi @KCBGroup my issue still pending not resolved,[],N/A
158,benshiashia6,Proud To Be Kenyan|| Western (Kakamega County) Is My Motherland|| Fan @Classic 105|| Fan  Of Chelsea 💯|| Football Is My Food For Thought.,,14,20,63,2020-08-13 15:40:49,2020-11-18 05:07:00,0,"@KCBGroup I have two kids and i want to open Jumbo junior accountant for them, will I have to open two separate Jumbo junior accounts or i can open a joint Jumbo junior account for them?",[],N/A
159,brian_owino56,"Manager at Absa Bank of Kenya, Mbale Branch, Find me On: || https://t.co/UjaFRqXxul || Bryoo Ke. || https://t.co/GBEkMSPi5B || Upcoming CEO || @SafaricomPLC","Mbale, Kenya",413,1014,14295,2015-08-29 19:11:49,2020-11-18 04:52:06,0,Hello @KCBGroup thanks so much for birthday wishes. https://t.co/XBuX30XGjB,[],N/A
160,Moryn06568826,educated,,13,1,4,2019-10-16 19:13:47,2020-11-18 04:41:46,0,@KCBGroup Share for help🙏 https://t.co/sulyjoPnwf,[],N/A
161,Tee_Keay,"Doveryai, no proveryai.",+254,2236,1370,29984,2011-03-24 10:09:59,2020-11-18 04:34:51,0,"@KCBCare  the usual, kindly deal 👇 https://t.co/1DTDVVSALG",[],N/A
162,mmnjug,From where I sit: There is a certain majesty in simplicity.,Kenya,1721,40388,370100,2009-04-08 07:48:10,2020-11-18 04:17:21,0,.@KCBGroup has moved to the High Court to enforce a Sh4.3 billion award against Nairobi County arising from a long-standing loan dispute the lender took over from @KeEquityBank https://t.co/aPsdVoVy9c,[],N/A
163,elimikatrust,"Working with policymakers, regulators, unions and other partners, we facilitate access to reliable, quality and sustainable education for all, at all levels","Nairobi, Kenya",71957,66481,27428,2014-07-07 13:19:34,2020-11-18 04:15:17,0,"FINANCING COMPRESSED term dates between 2021 to 2023, in recovering the lost 2020 schools academic year, means more pain for parents and guardians. Will banks come in with special school fees credit facilities? @kenyabankers @KeEquityBank @Coopbankenya @KCBGroup #ElimikaMashinani https://t.co/FS9u1DvIEA","[{'text': 'ElimikaMashinani', 'indices': [263, 280]}]",N/A
164,KavitaKE,...with enough gun powder to shoot down the moon. :-),NAIROBI,1658,794,3029,2012-12-30 16:23:51,2020-11-18 04:14:16,0,@KCBGroup Hi USSD is not working since 6am?,[],N/A
165,SaulJuma,an award winning stylist hair cut of the year 2014 and the best colorist of the year 2015 .. call in +254725684781 thank you .https://t.co/uNbjRbvvTg,kenya  nairobi.,909,1364,11064,2009-04-24 07:09:30,2020-11-18 04:14:09,0,@KCBGroup Smokie,[],N/A
166,Albaitar9,"stolzer Kenianer// Doktor der Pharmazie

Das ist mein Hof

HERE FOR LAUGHS. Views mine.","Nairobi, Isiolo, Oloosirkon",688,1719,7494,2015-07-23 11:55:16,2020-11-18 04:12:54,0,@KCBGroup Rolexxx of course,[],N/A
167,suleiman_ke,I cant change the world alone i need followers,Kenya,373,267,290,2020-10-21 07:09:54,2020-11-18 03:45:21,96,Potential ya farming ni bigi sana and KCB sees this. That’s why we see the need to equip livestock farmers with financial support and training to better their productivity. This improves their lives and betters the economy. #GoAhead na KCB https://t.co/AaeEyCmDFi https://t.co/IGnnnTe5mY,[],N/A
168,JamesBritam,"Financial advisor working with britam https://t.co/GvzSVzsZ6I
I provide Need based Financial Solutions to the society by helping them acquire Financial freedom","Nairobi, Kenya",401,2960,33130,2018-05-23 15:00:41,2020-11-18 03:19:26,96,Potential ya farming ni bigi sana and KCB sees this. That’s why we see the need to equip livestock farmers with financial support and training to better their productivity. This improves their lives and betters the economy. #GoAhead na KCB https://t.co/AaeEyCmDFi https://t.co/IGnnnTe5mY,[],N/A
169,Patrick97248218,political pundit,,130,6,134,2020-10-30 23:44:38,2020-11-18 03:01:53,0,@KCBGroup Terrorist,[],N/A
170,evanceo78336955,Admin@nursinghome.ravine/ravineglory healthcareservices,,76,13,15,2019-11-12 17:51:33,2020-11-18 02:41:46,71,"At KCB tunajua muhimu ya ku empower our youth. Through programs like the Young Africa Works with MasterCard Foundation, tumeweza kuwai wasee jobs, offer training and mentorships which have helped better their lives. This is our #GoAhead spirit. Read more https://t.co/AaeEyCEf3S https://t.co/Atip84Yqbo",[],N/A
171,RONOHARNOLD1,,,455,15,25,2014-01-20 06:57:11,2020-11-18 01:35:07,0,@KCBGroup Reply inboxed,[],N/A
172,RONOHARNOLD1,,,455,15,25,2014-01-20 06:57:11,2020-11-18 01:34:27,1,"@RONOHARNOLD1 Hi, Please confirm the following for assistance:
- Full name
- Phone number registered
- ID number

 ^BW",[],N/A
